        numOfIt             y1             y2             tk
            474       0.188449      -0.391008       0.181269
            475       0.188846      -0.390855        0.18164
            476       0.189243      -0.390701       0.182012
            477       0.189639      -0.390546       0.182383
            478       0.190036      -0.390391       0.182754
            479       0.190433      -0.390235       0.183126
            480        0.19083       -0.39008       0.183497
            481       0.191226      -0.389923       0.183868
            482       0.191623      -0.389766       0.184239
            483        0.19202      -0.389609        0.18461
            484       0.192417      -0.389451       0.184981
            485       0.192813      -0.389293       0.185352
            486        0.19321      -0.389135       0.185723
            487       0.193607      -0.388976       0.186094
            488       0.194004      -0.388816       0.186465
            489         0.1944      -0.388656       0.186836
            490       0.194797      -0.388496       0.187207
            491       0.195194      -0.388335       0.187578
            492       0.195591      -0.388174       0.187948
            493       0.195987      -0.388012       0.188319
            494       0.196384       -0.38785        0.18869
            495       0.196781      -0.387687       0.189061
            496       0.197178      -0.387524       0.189431
            497       0.197574       -0.38736       0.189802
            498       0.197971      -0.387196       0.190172
            499       0.198368      -0.387032       0.190543
            500       0.198765      -0.386867       0.190914
            501       0.199161      -0.386702       0.191284
            502       0.199558      -0.386536       0.191654
            503       0.199955       -0.38637       0.192025
            504       0.200352      -0.386203       0.192395
            505       0.200749      -0.386036       0.192766
            506       0.201145      -0.385869       0.193136
            507       0.201542      -0.385701       0.193506
            508       0.201939      -0.385532       0.193877
            509       0.202336      -0.385363       0.194247
            510       0.202732      -0.385194       0.194617
            511       0.203129      -0.385024       0.194987
            512       0.203526      -0.384854       0.195357
            513       0.203923      -0.384683       0.195727
            514        0.20432      -0.384512       0.196098
            515       0.204716      -0.384341       0.196468
            516       0.205113      -0.384169       0.196838
            517        0.20551      -0.383996       0.197208
            518       0.205907      -0.383824       0.197578
            519       0.206304       -0.38365       0.197947
            520         0.2067      -0.383476       0.198317
            521       0.207097      -0.383302       0.198687
            522       0.207494      -0.383128       0.199057
            523       0.207891      -0.382953       0.199427
            524       0.208288      -0.382777       0.199797
            525       0.208684      -0.382601       0.200166
            526       0.209081      -0.382425       0.200536
            527       0.209478      -0.382248       0.200906
            528       0.209875       -0.38207       0.201275
            529       0.210272      -0.381893       0.201645
            530       0.210668      -0.381714       0.202015
            531       0.211065      -0.381536       0.202384
            532       0.211462      -0.381357       0.202754
            533       0.211859      -0.381177       0.203123
            534       0.212256      -0.380997       0.203493
            535       0.212652      -0.380817       0.203862
            536       0.213049      -0.380636       0.204232
            537       0.213446      -0.380455       0.204601
            538       0.213843      -0.380273        0.20497
            539        0.21424      -0.380091        0.20534
            540       0.214636      -0.379908       0.205709
            541       0.215033      -0.379725       0.206078
            542        0.21543      -0.379542       0.206447
            543       0.215827      -0.379358       0.206817
            544       0.216224      -0.379173       0.207186
            545       0.216621      -0.378988       0.207555
            546       0.217017      -0.378803       0.207924
            547       0.217414      -0.378617       0.208293
            548       0.217811      -0.378431       0.208662
            549       0.218208      -0.378245       0.209031
            550       0.218605      -0.378057         0.2094
            551       0.219001       -0.37787       0.209769
            552       0.219398      -0.377682       0.210138
            553       0.219795      -0.377494       0.210507
            554       0.220192      -0.377305       0.210876
            555       0.220589      -0.377116       0.211245
            556       0.220986      -0.376926       0.211614
            557       0.221382      -0.376736       0.211983
            558       0.221779      -0.376545       0.212352
            559       0.222176      -0.376354        0.21272
            560       0.222573      -0.376163       0.213089
            561        0.22297      -0.375971       0.213458
            562       0.223367      -0.375778       0.213827
            563       0.223763      -0.375586       0.214195
            564        0.22416      -0.375392       0.214564
            565       0.224557      -0.375199       0.214932
            566       0.224954      -0.375005       0.215301
            567       0.225351       -0.37481        0.21567
            568       0.225748      -0.374615       0.216038
            569       0.226145       -0.37442       0.216407
            570       0.226541      -0.374224       0.216775
            571       0.226938      -0.374028       0.217144
            572       0.227335      -0.373831       0.217512
            573       0.227732      -0.373634        0.21788
            574       0.228129      -0.373436       0.218249
            575       0.228526      -0.373238       0.218617
            576       0.228922      -0.373039       0.218986
            577       0.229319       -0.37284       0.219354
            578       0.229716      -0.372641       0.219722
            579       0.230113      -0.372441        0.22009
            580        0.23051      -0.372241       0.220459
            581       0.230907       -0.37204       0.220827
            582       0.231304      -0.371839       0.221195
            583         0.2317      -0.371638       0.221563
            584       0.232097      -0.371435       0.221931
            585       0.232494      -0.371233       0.222299
            586       0.232891       -0.37103       0.222668
            587       0.233288      -0.370827       0.223036
            588       0.233685      -0.370623       0.223404
            589       0.234082      -0.370419       0.223772
            590       0.234479      -0.370214        0.22414
            591       0.234875      -0.370009       0.224508
            592       0.235272      -0.369803       0.224876
            593       0.235669      -0.369598       0.225244
            594       0.236066      -0.369391       0.225611
            595       0.236463      -0.369184       0.225979
            596        0.23686      -0.368977       0.226347
            597       0.237257      -0.368769       0.226715
            598       0.237653      -0.368561       0.227083
            599        0.23805      -0.368352       0.227451
            600       0.238447      -0.368143       0.227818
            601       0.238844      -0.367934       0.228186
            602       0.239241      -0.367724       0.228554
            603       0.239638      -0.367514       0.228921
            604       0.240035      -0.367303       0.229289
            605       0.240432      -0.367092       0.229657
            606       0.240828       -0.36688       0.230024
            607       0.241225      -0.366668       0.230392
            608       0.241622      -0.366455        0.23076
            609       0.242019      -0.366242       0.231127
            610       0.242416      -0.366029       0.231495
            611       0.242813      -0.365815       0.231862
            612        0.24321      -0.365601        0.23223
            613       0.243607      -0.365386       0.232597
            614       0.244004      -0.365171       0.232965
            615         0.2444      -0.364955       0.233332
            616       0.244797      -0.364739         0.2337
            617       0.245194      -0.364523       0.234067
            618       0.245591      -0.364306       0.234434
            619       0.245988      -0.364088       0.234802
            620       0.246385      -0.363871       0.235169
            621       0.246782      -0.363652       0.235536
            622       0.247179      -0.363434       0.235904
            623       0.247575      -0.363215       0.236271
            624       0.247972      -0.362995       0.236638
            625       0.248369      -0.362775       0.237005
            626       0.248766      -0.362555       0.237373
            627       0.249163      -0.362334        0.23774
            628        0.24956      -0.362113       0.238107
            629       0.249957      -0.361891       0.238474
            630       0.250354      -0.361669       0.238841
            631       0.250751      -0.361446       0.239208
            632       0.251148      -0.361223       0.239575
            633       0.251544         -0.361       0.239943
            634       0.251941      -0.360776        0.24031
            635       0.252338      -0.360551       0.240677
            636       0.252735      -0.360327       0.241044
            637       0.253132      -0.360101       0.241411
            638       0.253529      -0.359876       0.241778
            639       0.253926       -0.35965       0.242145
            640       0.254323      -0.359423       0.242512
            641        0.25472      -0.359196       0.242878
            642       0.255117      -0.358969       0.243245
            643       0.255513      -0.358741       0.243612
            644        0.25591      -0.358513       0.243979
            645       0.256307      -0.358284       0.244346
            646       0.256704      -0.358055       0.244713
            647       0.257101      -0.357825        0.24508
            648       0.257498      -0.357595       0.245446
            649       0.257895      -0.357365       0.245813
            650       0.258292      -0.357134        0.24618
